"PERIOADA PERIOADA","IMPORTATOR_PRODUCATOR","ARTICOL DENUMIRE","STOC","VALOARE STOC"
"DECEMBRIE 2025","INDOMEX SRL","14089 YAMANI 255 200X290","0.0","0.004971"
"DECEMBRIE 2025","INDOMEX SRL","32074 INFINITY 1414 67X340","0.0","1.48E-4"
"DECEMBRIE 2025","INDOMEX SRL","32170 INFINITY 6020 80X150","0.0","-0.002052"
"DECEMBRIE 2025","INDOMEX SRL","33100 MODENA 4646 133X190","0.0","0.004407"
"DECEMBRIE 2025","INDOMEX SRL","5414381132499 ATT - 1067 ATTRACTION LIGHT BLUE 200*290","0.0","-0.002921"
"DECEMBRIE 2025","INDOMEX SRL","5414381155214 ATT - 1061 ATTRACTION NAVY 200*290","0.0","0.003612"
"DECEMBRIE 2025","INDOMEX SRL","Adeziv podea","2002.0","31703.135454"
"DECEMBRIE 2025","INDOMEX SRL","BOL - 1005 BOLERO CREAM 120*170","0.0","0.001983"
"DECEMBRIE 2025","INDOMEX SRL","COLORSISAL BEIGE BORDO 003/2201 PELLE LEOPARD 165x235cm","0.0","0.003372"
"DECEMBRIE 2025","INDOMEX SRL","COMFORT COVOR 56004 2000 ROUND","0.0","0.001009"
"DECEMBRIE 2025","INDOMEX SRL","COTTON BORDERS","0.0","0.003533"
"DECEMBRIE 2025","INDOMEX SRL","COVOARE SHAUR 160x230cm VIZON","4.0","1929.809332"
"DECEMBRIE 2025","INDOMEX SRL","COVOR","0.0","-0.00972"
"DECEMBRIE 2025","INDOMEX SRL","COVOR  DE EXTERIOR IMARIA 080x150cm SAND","1.0","156.793122"
"DECEMBRIE 2025","INDOMEX SRL","COVOR  DE EXTERIOR IMARIA 160x230cm ANTHRACITE","2.0","961.687155"
"DECEMBRIE 2025","INDOMEX SRL","COVOR  DE EXTERIOR IMARIA 160x230cm CHARCOAL","7.0","3216.570331"
"DECEMBRIE 2025","INDOMEX SRL","COVOR  DE EXTERIOR IMARIA 160x230cm DARK GREY","5.0","2192.927058"
"DECEMBRIE 2025","INDOMEX SRL","COVOR  DE EXTERIOR IMARIA 200x290cm DARK GREY","1.0","691.252084"
"DECEMBRIE 2025","INDOMEX SRL","COVOR  DE EXTERIOR IMARIA 250x350cm CHARCOAL","2.0","2186.05"
"DECEMBRIE 2025","INDOMEX SRL","COVOR  DE EXTERIOR IMARIA 250x350cm DARK GREY","3.0","3128.1"
