factory,lead_time_days,lead_time_source,units,skus
GIZA CARPET,90,ASSUMED_DEFAULT — replace with the real number from Tibi,12900.0,518
NEATRIBUIT,90,ASSUMED_DEFAULT — replace with the real number from Tibi,6536.0,745
SHAPE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,6055.0,4
INDESIGN,90,ASSUMED_DEFAULT — replace with the real number from Tibi,5664.0,69
ORNEK,90,ASSUMED_DEFAULT — replace with the real number from Tibi,3995.0,330
TARKETT,90,ASSUMED_DEFAULT — replace with the real number from Tibi,2284.0,1
MERINOS,90,ASSUMED_DEFAULT — replace with the real number from Tibi,2032.0,198
OSTA,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1969.0,244
YD DOKUMA ITHALAT IHRACAT SAN VE TIC AS,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1753.0,110
EUROFLOCK,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1651.0,49
MILAT HALI SANAYI VE TICARET A S,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1537.0,142
HAMAT,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1518.0,46
HEFEIRAZA,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1412.0,39
HERITAGE EXPORT,90,ASSUMED_DEFAULT — replace with the real number from Tibi,876.0,57
RAGOLLE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,772.0,145
ROSSI CARPET,90,ASSUMED_DEFAULT — replace with the real number from Tibi,686.0,45
DILEK,90,ASSUMED_DEFAULT — replace with the real number from Tibi,565.0,40
ELDAHALI GUMUSOYU,90,ASSUMED_DEFAULT — replace with the real number from Tibi,468.0,52
CHI WING,90,ASSUMED_DEFAULT — replace with the real number from Tibi,444.6,46
BANYOLIN,90,ASSUMED_DEFAULT — replace with the real number from Tibi,378.0,5
AGNELLA,90,ASSUMED_DEFAULT — replace with the real number from Tibi,349.0,54
DOST KARDESLER,90,ASSUMED_DEFAULT — replace with the real number from Tibi,308.0,59
STELLART,90,ASSUMED_DEFAULT — replace with the real number from Tibi,278.0,5
OPEE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,268.0,55
TULIP HOME MANUFACTURE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,264.0,5
DURKAR,90,ASSUMED_DEFAULT — replace with the real number from Tibi,204.0,23
CARPET CLEANER,90,ASSUMED_DEFAULT — replace with the real number from Tibi,202.0,1
HASNAKKAS HALI PALAZZO,90,ASSUMED_DEFAULT — replace with the real number from Tibi,178.0,32
ITALGREEN,90,ASSUMED_DEFAULT — replace with the real number from Tibi,151.1,1
VERBATEX,90,ASSUMED_DEFAULT — replace with the real number from Tibi,144.0,34
CHAMPO CARPETS,90,ASSUMED_DEFAULT — replace with the real number from Tibi,122.0,43
LOOMX,90,ASSUMED_DEFAULT — replace with the real number from Tibi,112.0,33
ORIENTAL WEAVERS,90,ASSUMED_DEFAULT — replace with the real number from Tibi,95.0,21
LALEE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,85.0,29
JAIPUR,90,ASSUMED_DEFAULT — replace with the real number from Tibi,56.0,9
AKARSU HALI,90,ASSUMED_DEFAULT — replace with the real number from Tibi,55.0,15
WUHU EASY,90,ASSUMED_DEFAULT — replace with the real number from Tibi,53.0,37
KARTAL HALI,90,ASSUMED_DEFAULT — replace with the real number from Tibi,49.0,9
KUMAR,90,ASSUMED_DEFAULT — replace with the real number from Tibi,16.0,4
SADIQ,90,ASSUMED_DEFAULT — replace with the real number from Tibi,9.0,9
FLORA EXPORTS,90,ASSUMED_DEFAULT — replace with the real number from Tibi,6.0,4
MULTY HOME EUROPE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,4.0,4
GREENWOOD & COOPE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,4.0,1
KAPLAN FLOOR,90,ASSUMED_DEFAULT — replace with the real number from Tibi,2.0,1
ROGER VANDEN BERGHE,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1.0,1
INDOMEX SRL,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1.0,1
ZOHA,90,ASSUMED_DEFAULT — replace with the real number from Tibi,1.0,1
