sku,product_state,state_source,evidence_first_month_units,evidence_last_month_units,evidence_max_monthly_increase
AGAZANGR080,phase_out,HEURISTIC_PROXY,4.0,1.0,0.0
AGCTAB45G,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
AGCUNHAWH170,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AGELOISGR080,phase_out,HEURISTIC_PROXY,4.0,1.0,0.0
AGELOISGR160,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
AGGATAGR080,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
AGJIO07SA080,active,HEURISTIC_PROXY,0.0,7.0,7.0
AGJIO07SA160,active,HEURISTIC_PROXY,0.0,5.0,5.0
AGJIO19GR080,active,HEURISTIC_PROXY,0.0,7.0,7.0
AGJIO19GR160,active,HEURISTIC_PROXY,0.0,5.0,5.0
AGLIANLBE160,phase_out,HEURISTIC_PROXY,2.0,1.0,1.0
AGLUSHB01PEARL080,active,HEURISTIC_PROXY,0.0,12.0,9.0
AGLUSHB01PEARL160,active,HEURISTIC_PROXY,0.0,6.0,4.0
AGLUSHB02GR080,active,HEURISTIC_PROXY,0.0,8.0,9.0
AGLUSHB02GR160,active,HEURISTIC_PROXY,0.0,5.0,4.0
AGLUSHB03WH080,active,HEURISTIC_PROXY,0.0,9.0,9.0
AGLUSHB03WH160,active,HEURISTIC_PROXY,0.0,7.0,5.0
AGMANY02PEARL080,active,HEURISTIC_PROXY,0.0,5.0,9.0
AGMANY02PEARL160,active,HEURISTIC_PROXY,0.0,5.0,5.0
AGMANY05PEARL080,active,HEURISTIC_PROXY,0.0,6.0,9.0
AGMANY05PEARL160,active,HEURISTIC_PROXY,0.0,6.0,6.0
AGMANY07GR080,active,HEURISTIC_PROXY,0.0,4.0,9.0
AGMANY07GR160,active,HEURISTIC_PROXY,0.0,1.0,5.0
AGMANY08GO080,active,HEURISTIC_PROXY,0.0,11.0,9.0
AGMANY08GO160,active,HEURISTIC_PROXY,0.0,8.0,8.0
AGMANY11BL080,active,HEURISTIC_PROXY,0.0,9.0,9.0
AGMANY11BL160,active,HEURISTIC_PROXY,0.0,6.0,7.0
AGMANY12WH080,active,HEURISTIC_PROXY,0.0,10.0,9.0
AGMANY12WH160,active,HEURISTIC_PROXY,0.0,7.0,7.0
AGMANY16PEARL080,active,HEURISTIC_PROXY,0.0,8.0,10.0
AGMANY16PEARL160,active,HEURISTIC_PROXY,0.0,8.0,8.0
AGMANY17MA080,active,HEURISTIC_PROXY,0.0,7.0,11.0
AGMANY17MA160,active,HEURISTIC_PROXY,0.0,6.0,8.0
AGMANYSHRINK03PEARL080,active,HEURISTIC_PROXY,0.0,8.0,9.0
AGMANYSHRINK03PEARL160,active,HEURISTIC_PROXY,0.0,8.0,7.0
AGMANYSHRINK04BE080,active,HEURISTIC_PROXY,0.0,11.0,9.0
AGMANYSHRINK04BE160,active,HEURISTIC_PROXY,0.0,7.0,4.0
AGMANYSHRINK06BE080,active,HEURISTIC_PROXY,0.0,1.0,7.0
AGMANYSHRINK06BE160,active,HEURISTIC_PROXY,0.0,2.0,6.0
AGMANYSHRINK09GR080,active,HEURISTIC_PROXY,0.0,8.0,9.0
AGMANYSHRINK09GR160,active,HEURISTIC_PROXY,0.0,5.0,6.0
AGMANYSHRINK14BE080,active,HEURISTIC_PROXY,0.0,10.0,10.0
AGMANYSHRINK14BE160,active,HEURISTIC_PROXY,0.0,8.0,8.0
AGMANYSHRINK15BE080,active,HEURISTIC_PROXY,0.0,10.0,11.0
AGMANYSHRINK15BE160,active,HEURISTIC_PROXY,0.0,5.0,8.0
AGNINSE05MA080,active,HEURISTIC_PROXY,0.0,10.0,10.0
AGNINSE05MA160,active,HEURISTIC_PROXY,0.0,8.0,8.0
AGPINITYGR200,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
AGROHOLGR160,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
AGSALLYLGR160,phase_out,HEURISTIC_PROXY,3.0,1.0,0.0
AGTRAUFE08BE080,active,HEURISTIC_PROXY,0.0,6.0,6.0
AGTRAUFE08BE160,active,HEURISTIC_PROXY,0.0,3.0,4.0
AGTRAUFE10WH080,active,HEURISTIC_PROXY,0.0,3.0,6.0
AGTRAUFE10WH160,active,HEURISTIC_PROXY,0.0,5.0,5.0
AGTRAUFE12WH080,active,HEURISTIC_PROXY,0.0,7.0,7.0
AGTRAUFE12WH160,active,HEURISTIC_PROXY,0.0,5.0,5.0
AGTRAUFE20DKRED100,active,HEURISTIC_PROXY,0.0,6.0,6.0
AGTRAUFE20DKRED170,active,HEURISTIC_PROXY,0.0,3.0,3.0
AGTRAUFE33BE080,active,HEURISTIC_PROXY,0.0,7.0,7.0
AGTRAUFE33BE160,active,HEURISTIC_PROXY,0.0,5.0,5.0
AGURMIAGRA200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AIME38012160,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
AIME38012200,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
AKMEMLUK080,phase_out,HEURISTIC_PROXY,12.0,1.0,1.0
AKMEMLUK130,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
AKMEMLUK160,phase_out,HEURISTIC_PROXY,5.0,1.0,0.0
AKMEMLUK200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AKNAGE080,phase_out,HEURISTIC_PROXY,7.0,3.0,2.0
AKNAGE130,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AKNAGE160,phase_out,HEURISTIC_PROXY,5.0,1.0,0.0
AKSHEYN080,phase_out,HEURISTIC_PROXY,12.0,4.0,2.0
AKSHEYN130,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AKSHEYN200,phase_out,HEURISTIC_PROXY,3.0,1.0,1.0
AKSONYA080,phase_out,HEURISTIC_PROXY,8.0,3.0,0.0
AKSONYA160,phase_out,HEURISTIC_PROXY,7.0,1.0,0.0
AKSONYA200,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
AKTEMPI080,active,HEURISTIC_PROXY,14.0,9.0,4.0
AKTEMPI130,phase_out,HEURISTIC_PROXY,1.0,0.0,1.0
AKTEMPI160,phase_out,HEURISTIC_PROXY,10.0,3.0,0.0
AKTEMPI200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AKVASHET080,phase_out,HEURISTIC_PROXY,11.0,3.0,0.0
AKVASHET130,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
AKVASHET160,phase_out,HEURISTIC_PROXY,8.0,2.0,1.0
AMBPEBBLESRED170240,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AVASONG200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
AVINFINITYGR160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BEL591786737200290,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BELUCHIBU065,phase_out,HEURISTIC_PROXY,3.0,1.0,0.0
BELUCHIBU100,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BELUCHIBU135,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
BELUCHIBU200,phase_out,HEURISTIC_PROXY,6.0,2.0,0.0
BELUCHIIV065,phase_out,HEURISTIC_PROXY,3.0,0.0,0.0
BELUCHIIV160,phase_out,HEURISTIC_PROXY,4.0,0.0,0.0
BELUCHIIV200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BLARIZONA160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BLBAYERNJA080,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BLBLISSBE080,phase_out,HEURISTIC_PROXY,4.0,0.0,0.0
BLBLISSBE140,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BLBLISSBE160,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
BLBLISSGR080,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
BLDARKMP034,phase_out,HEURISTIC_PROXY,14.0,0.0,0.0
BLDINKYTA200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
BLFIRSTFORWARD061MP,active,HEURISTIC_PROXY,0.0,65.0,65.0
BLFOGMP096,phase_out,HEURISTIC_PROXY,33.2,0.0,0.0
BLLUXURYBR160,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
BLVOGLIAYE160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CCSTAINREMOVER,active,HEURISTIC_PROXY,62.0,55.0,4.0
CHCAPITOLABL080,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHCAPITOLABL160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHCAPITOLABL200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHCAPITOLAIV080,active,HEURISTIC_PROXY,1.0,3.0,12.0
CHCAPITOLAIV080T,active,HEURISTIC_PROXY,0.0,3.0,4.0
CHCAPITOLAIV120R,active,HEURISTIC_PROXY,0.0,2.0,4.0
CHCAPITOLAIV160,active,HEURISTIC_PROXY,2.0,5.0,7.0
CHCAPITOLAIV160R,active,HEURISTIC_PROXY,0.0,2.0,3.0
CHCAPITOLANAT080,active,HEURISTIC_PROXY,1.0,3.0,11.0
CHCAPITOLANAT080T,active,HEURISTIC_PROXY,0.0,1.0,4.0
CHCAPITOLANAT120R,active,HEURISTIC_PROXY,0.0,2.0,4.0
CHCAPITOLANAT130,active,HEURISTIC_PROXY,2.0,1.0,3.0
CHCAPITOLANAT160,active,HEURISTIC_PROXY,3.0,6.0,7.0
CHCAPITOLANAT160R,active,HEURISTIC_PROXY,0.0,1.0,3.0
CHCAPITOLATA130,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
CHCHASE080,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
CHCHASE130,phase_out,HEURISTIC_PROXY,3.0,1.0,0.0
